source,id,name,date,latitude,longitude,altitude_m,mass_g,diameter_m,velocity_km_s,miss_distance_km,recclass,orbital_inclination_deg,eccentricity,epoch,x,y,z,vx,vy,vz,energy,impact_e
neo,2003838,3838 Epona (1986 WA),1979-08-01,N/A,N/A,N/A,N/A,3217.678,19.7672921746,7402723.094685399,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003908,3908 Nyx (1980 PA),1932-12-08,N/A,N/A,N/A,N/A,1391.690,9.7158922895,13926111.375569924,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2003988,3988 Huma (1986 LA),1900-07-25,N/A,N/A,N/A,N/A,1110.562,7.3299903587,8206416.543000942,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004015,4015 Wilson-Harrington (1979 VA),1919-09-30,N/A,N/A,N/A,N/A,2486.238,8.8059885516,7860397.821594541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004034,4034 Vishnu (1986 PA),1904-12-26,N/A,N/A,N/A,N/A,862.070,15.1768344049,10094314.19623201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004055,4055 Magellan (1985 DO2),N/A,N/A,N/A,N/A,N/A,4441.632,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004179,4179 Toutatis (1989 AC),1906-10-02,N/A,N/A,N/A,N/A,3763.073,12.3343370269,23118432.290616185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004183,4183 Cuno (1959 LM),1903-09-16,N/A,N/A,N/A,N/A,6332.025,17.9568235438,11911798.540579785,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004197,4197 Morpheus (1982 TA),1913-05-12,N/A,N/A,N/A,N/A,4360.564,28.5627059477,26640610.812517376,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004257,4257 Ubasti (1987 QA),1911-07-24,N/A,N/A,N/A,N/A,2738.688,22.6262615888,5900898.932714084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004341,4341 Poseidon (1987 KF),1902-08-11,N/A,N/A,N/A,N/A,2615.427,18.4314699043,13539063.299066482,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004401,4401 Aditi (1985 TB),1927-11-05,N/A,N/A,N/A,N/A,2567.690,17.9108794175,55084708.620279172,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004450,4450 Pan (1987 SY),1907-12-11,N/A,N/A,N/A,N/A,1505.021,21.4229836366,14855001.501073814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004486,4486 Mithra (1987 SB),1902-08-23,N/A,N/A,N/A,N/A,3247.451,22.2049214651,26278354.244628204,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004487,4487 Pocahontas (1987 UA),N/A,N/A,N/A,N/A,N/A,1372.596,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004503,4503 Cleobulus (1989 WM),1902-07-15,N/A,N/A,N/A,N/A,2948.103,4.6214113009,203480043.472579802,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004544,4544 Xanthus (1989 FB),1902-07-03,N/A,N/A,N/A,N/A,1443.918,8.2268602192,9723899.24866324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004581,4581 Asclepius (1989 FC),1901-06-27,N/A,N/A,N/A,N/A,305.874,12.6417912422,16533200.938423862,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004596,4596 (1981 QB),1904-09-02,N/A,N/A,N/A,N/A,2205.681,24.5809417261,60342675.162214344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004660,4660 Nereus (1982 DB),1900-01-29,N/A,N/A,N/A,N/A,764.791,5.5448650497,3111379.539567199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004688,4688 (1980 WF),1940-11-17,N/A,N/A,N/A,N/A,517.062,15.9605599715,59574121.700049682,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neo,2004769,4769 Castalia (1989 PB),1902-02-18,N/A,N/A,N/A,N/A,1424.107,15.6642793458,9859362.333996716,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
