jd,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,distance_km
2460774.5,2025-04-09T00:00:00,3.407767247926797e+16,-2.110952618125798e+16,7446967653487.105,23540.688843906642,34810.09614007465,4347.470823822989,4.008615612226746e+16
2460775.5,2025-04-10T00:00:00,3.425252359921815e+16,-2.084913344935574e+16,39900289812962.55,23304.98058150447,34953.5798994808,4347.333543786547,4.009891931881915e+16
2460776.5,2025-04-11T00:00:00,3.442561161881511e+16,-2.05876768647683e+16,72351755261073.11,23068.325442953545,35095.12054168251,4346.973458043475,4.01120980353073e+16
2460777.5,2025-04-12T00:00:00,3.4596929550183876e+16,-2.032517096124108e+16,104799702621801.22,22830.745010794726,35234.71049538969,4346.39106997292,4.012569117014352e+16
2460778.5,2025-04-13T00:00:00,3.4766470566788116e+16,-2.0061630327877224e+16,137242474391573.94,22592.260927140956,35372.342500597304,4345.586913646872,4.013969758954998e+16
2460779.5,2025-04-14T00:00:00,3.493422800385372e+16,-1.979706960681273e+16,169678417167326.22,22352.89488799535,35508.00960888306,4344.561553548003,4.0154116127832744e+16
2460780.5,2025-04-15T00:00:00,3.510019535874986e+16,-1.953150349088969e+16,202105881872432.66,22112.66863758296,35641.70518358124,4343.315584277288,4.016894558766173e+16
2460781.5,2025-04-16T00:00:00,3.526436629132789e+16,-1.9264946721328856e+16,234523223980426.28,21871.603962697747,35773.422899834695,4341.849630251844,4.018418474035734e+16
2460782.5,2025-04-17T00:00:00,3.542673462421806e+16,-1.899741408540212e+16,266928803736402.4,21629.72268707061,35903.15674452534,4340.164345392911,4.019983232618352e+16
2460783.5,2025-04-18T00:00:00,3.558729434308433e+16,-1.8728920414106064e+16,299320986376083.4,21387.046665757734,36030.90101608466,4338.260412804738,4.021588705464702e+16
2460784.5,2025-04-19T00:00:00,3.574603959683726e+16,-1.8459480579837304e+16,331698142342435.75,21143.597779555115,36156.65032418479,4336.138544444032,4.023234760480279e+16
2460785.5,2025-04-20T00:00:00,3.5902964697805516e+16,-1.818910949407068e+16,364058647499795.7,20899.397929441133,36280.39958931087,4333.79948078068,4.024921262556549e+16
2460786.5,2025-04-21T00:00:00,3.6058064121865816e+16,-1.7917822105040884e+16,396400883345421.4,20654.46903105058,36402.14404221692,4331.2439904497505,4.026648073602653e+16
2460787.5,2025-04-22T00:00:00,3.6211332508531784e+16,-1.7645633395428862e+16,428723237218416.94,20408.83300918195,36521.87922326565,4328.472869895146,4.028415052577696e+16
2460788.5,2025-04-23T00:00:00,3.636276466100205e+16,-1.737255838005329e+16,461024102505979.56,20162.511792341462,36639.60098165402,4325.486943005233,4.03022205552358e+16
2460789.5,2025-04-24T00:00:00,3.651235554616762e+16,-1.7098612103568444e+16,493301878846879.2,19915.527307326633,36755.305474525754,4322.287060740554,4.032068935598359e+16
2460790.5,2025-04-25T00:00:00,3.666010029457909e+16,-1.6823809638169036e+16,525554972332132.75,19667.90147385179,36868.98916597218,4318.874100754005,4.033955543110125e+16
2460791.5,2025-04-26T00:00:00,3.680599420037375e+16,-1.6548166081302936e+16,557781795702841.1,19419.65619921816,36980.64882592358,4315.248967003851,4.035881725551367e+16
2460792.5,2025-04-27T00:00:00,3.695003272116333e+16,-1.6271696553392564e+16,589980768545063.2,19170.813373031022,37090.28152893166,4311.412589359643,4.037847327633848e+16
2460793.5,2025-04-28T00:00:00,3.7092211477882184e+16,-1.5994416195565798e+16,622150317481774.5,18921.3948619664,37197.88465284581,4307.365923201505,4.039852191323904e+16
2460794.5,2025-04-29T00:00:00,3.72325262545968e+16,-1.571634016739712e+16,654288876361779.0,18671.422504590028,37303.45587738403,4303.10994901293,4.041896155878218e+16
2460795.5,2025-04-30T00:00:00,3.737097299827687e+16,-1.5437483644659822e+16,686394886445563.2,18420.918106230118,37406.99318260129,4298.645671967615,4.04397905788002e+16
2460796.5,2025-05-01T00:00:00,3.7507547818528056e+16,-1.5157861817090088e+16,718466796588047.9,18169.9034339072,37508.49484725611,4293.974121510232,4.046100731275689e+16
