id,tried_id,name,source,moid_au,moid_km,intersects,date,velocity_km_s,miss_distance_km,diameter_m
,,144901 (2004 WG1),neo,,,,1903-04-15,16.8515370276,12148651.163431725,1329.054
,,190788 (2001 RT17),neo,,,,1905-11-10,22.8530878091,12228687.774176804,915.256
,,2100 Ra-Shalom (1978 RA),neo,,,,1906-12-24,17.9951279067,12234205.272737718,2418.481
,,159677 (2002 HQ11),neo,,,,1906-05-31,9.9864238514,12250710.974206724,554.042
,,163249 (2002 GT),neo,,,,1910-10-05,7.3976558244,12253295.412049057,782.605
,,206910 (2004 NL8),neo,,,,1900-09-17,13.5377562543,12270328.640487044,1505.021
,,202435 (2005 XH8),neo,,,,1916-06-17,36.606501652,12319107.629003482,1055.705
,,90373 (2003 SZ219),neo,,,,1985-01-03,6.4930084166,12328894.366538243,747.382
,,140039 (2001 SO73),neo,,,,1905-02-26,16.7082683103,12381893.46608802,1041.220
,,7482 (1994 PC1),neo,,,,1922-01-21,18.9710507521,12398827.989851381,2077.508
,,137925 (2000 BJ19),neo,,,,1914-02-01,42.0443044462,12473002.593100723,2627.499
,,7753 (1988 XB),neo,,,,1901-06-22,15.7624761233,12475400.587117675,1075.332
,,189062 (2000 VA45),neo,,,,1909-11-04,7.2331266817,12503751.926646465,902.698
,,98943 Torifune (2001 CC21),neo,,,,1901-09-13,1.9999475006,12513131.563497595,779.009
,,29075 (1950 DA),neo,,,,1919-03-02,15.699688434,12513833.581422144,1505.021
,,37638 (1993 VB),neo,,,,1906-12-03,9.6121381216,12516468.343987945,599.160
