id,name,min_dist_km,min_epoch_jd,intersects,points,error
2025330,25330 (1999 KV4),,,,,no_vectors_parsed
2025916,25916 (2001 CP44),,,,,no_vectors_parsed
2026166,26166 (1995 QN3),,,,,no_vectors_parsed
2026310,26310 (1998 TX6),,,,,no_vectors_parsed
2026379,26379 (1999 HZ1),,,,,no_vectors_parsed
2026663,26663 (2000 XK47),,,,,no_vectors_parsed
2026760,26760 (2001 KP41),,,,,no_vectors_parsed
2026817,26817 (1987 QB),,,,,no_vectors_parsed
2027002,27002 (1998 DV9),,,,,no_vectors_parsed
2027031,27031 (1998 RO4),,,,,no_vectors_parsed
2027346,27346 (2000 DN8),,,,,no_vectors_parsed
2029075,29075 (1950 DA),,,,,no_vectors_parsed
2030825,30825 (1990 TG1),,,,,no_vectors_parsed
2030997,30997 (1995 UO5),,,,,no_vectors_parsed
2031210,31210 (1998 BX7),,,,,no_vectors_parsed
2031221,31221 (1998 BP26),,,,,no_vectors_parsed
2031345,31345 (1998 PG),,,,,no_vectors_parsed
2031346,31346 (1998 PB1),,,,,no_vectors_parsed
2031662,31662 (1999 HP11),,,,,no_vectors_parsed
2031669,31669 (1999 JT6),,,,,no_vectors_parsed
2032906,32906 (1994 RH),,,,,no_vectors_parsed
2033342,33342 (1998 WT24),,,,,no_vectors_parsed
2034613,34613 (2000 UR13),,,,,no_vectors_parsed
2035107,35107 (1991 VH),,,,,no_vectors_parsed
2035396,35396 (1997 XF11),,,,,no_vectors_parsed
2035432,35432 (1998 BG9),,,,,no_vectors_parsed
2035670,35670 (1998 SU27),,,,,no_vectors_parsed
2036017,36017 (1999 ND43),,,,,no_vectors_parsed
2036183,36183 (1999 TX16),,,,,no_vectors_parsed
2036236,36236 (1999 VV),,,,,no_vectors_parsed
2036284,36284 (2000 DM8),,,,,no_vectors_parsed
2037336,37336 (2001 RM),,,,,no_vectors_parsed
2037638,37638 (1993 VB),,,,,no_vectors_parsed
2037655,37655 Illapa (1994 PM),,,,,no_vectors_parsed
2038071,38071 (1999 GU3),,,,,no_vectors_parsed
2038086,38086 Beowulf (1999 JB),,,,,no_vectors_parsed
2038091,38091 (1999 JT3),,,,,no_vectors_parsed
2038239,38239 (1999 OR3),,,,,no_vectors_parsed
2039565,39565 (1992 SL),,,,,no_vectors_parsed
2039572,39572 (1993 DQ1),,,,,no_vectors_parsed
2039796,39796 (1997 TD),,,,,no_vectors_parsed
2040263,40263 (1999 FQ5),,,,,no_vectors_parsed
2040267,40267 (1999 GJ4),,,,,no_vectors_parsed
2040329,40329 (1999 ML),,,,,no_vectors_parsed
2041429,41429 (2000 GE2),,,,,no_vectors_parsed
2041440,41440 (2000 HZ23),,,,,no_vectors_parsed
2042286,42286 (2001 TN41),,,,,no_vectors_parsed
2048603,48603 (1995 BC2),,,,,no_vectors_parsed
2052340,52340 (1992 SY),,,,,no_vectors_parsed
2052381,52381 (1993 HA),,,,,no_vectors_parsed
2052387,52387 Huitzilopochtli (1993 OM7),,,,,no_vectors_parsed
2052689,52689 (1998 FF2),,,,,no_vectors_parsed
2052750,52750 (1998 KK17),,,,,no_vectors_parsed
2052760,52760 (1998 ML14),,,,,no_vectors_parsed
2052761,52761 (1998 MN14),,,,,no_vectors_parsed
2052762,52762 (1998 MT24),,,,,no_vectors_parsed
2052768,52768 (1998 OR2),,,,,no_vectors_parsed
2053110,53110 (1999 AR7),,,,,no_vectors_parsed
2053319,53319 (1999 JM8),,,,,no_vectors_parsed
2053409,53409 (1999 LU7),,,,,no_vectors_parsed
2053426,53426 (1999 SL5),,,,,no_vectors_parsed
2053429,53429 (1999 TF5),,,,,no_vectors_parsed
2053430,53430 (1999 TY16),,,,,no_vectors_parsed
2053435,53435 Leonard (1999 VM40),,,,,no_vectors_parsed
2053550,53550 (2000 BF19),,,,,no_vectors_parsed
2053789,53789 (2000 ED104),,,,,no_vectors_parsed
2054071,54071 (2000 GQ146),,,,,no_vectors_parsed
2054401,54401 (2000 LM),,,,,no_vectors_parsed
2054509,54509 YORP (2000 PH5),,,,,no_vectors_parsed
2054660,54660 (2000 UJ1),,,,,no_vectors_parsed
2054686,54686 (2001 DU8),,,,,no_vectors_parsed
2054690,54690 (2001 EB),,,,,no_vectors_parsed
2054789,54789 (2001 MZ7),,,,,no_vectors_parsed
